id,stage,student_id,group,type
MFVF11801,stage1,FV1801,low,fecal
MFVF11802,stage1,FV1802,low,fecal
MFVF11803,stage1,FV1803,high,fecal
MFVF11804,stage1,FV1804,high,fecal
MFVF11806,stage1,FV1806,high,fecal
MFVF11807,stage1,FV1807,low,fecal
MFVF11808,stage1,FV1808,low,fecal
MFVF11809,stage1,FV1809,high,fecal
MFVF11815,stage1,FV1815,high,fecal
MFVF11817,stage1,FV1817,low,fecal
MFVF11818,stage1,FV1818,high,fecal
MFVF11819,stage1,FV1819,high,fecal
MFVF11821,stage1,FV1821,high,fecal
MFVF11822,stage1,FV1822,high,fecal
MFVF11823,stage1,FV1823,low,fecal
MFVF11824,stage1,FV1824,low,fecal
MFVF11825,stage1,FV1825,low,fecal
MFVF11829,stage1,FV1829,high,fecal
MFVF11836,stage1,FV1836,high,fecal
MFVF11837,stage1,FV1837,high,fecal
MFVF11838,stage1,FV1838,low,fecal
MFVF11839,stage1,FV1839,high,fecal
MFVF11841,stage1,FV1841,high,fecal
MFVF11842,stage1,FV1842,high,fecal
MFVF11844,stage1,FV1844,low,fecal
MFVF11845,stage1,FV1845,high,fecal
MFVF21801,stage2,FV1801,low,fecal
MFVF21802,stage2,FV1802,low,fecal
MFVF21803,stage2,FV1803,high,fecal
MFVF21804,stage2,FV1804,high,fecal
MFVF21806,stage2,FV1806,high,fecal
MFVF21807,stage2,FV1807,low,fecal
MFVF21808,stage2,FV1808,low,fecal
MFVF21809,stage2,FV1809,high,fecal
MFVF21815,stage2,FV1815,high,fecal
MFVF21817,stage2,FV1817,low,fecal
MFVF21818,stage2,FV1818,high,fecal
MFVF21819,stage2,FV1819,high,fecal
MFVF21821,stage2,FV1821,high,fecal
MFVF21822,stage2,FV1822,high,fecal
MFVF21823,stage2,FV1823,low,fecal
MFVF21824,stage2,FV1824,low,fecal
MFVF21829,stage2,FV1829,high,fecal
MFVF21837,stage2,FV1837,high,fecal
MFVF21838,stage2,FV1838,low,fecal
MFVF21839,stage2,FV1839,high,fecal
MFVF21841,stage2,FV1841,high,fecal
MFVF21842,stage2,FV1842,high,fecal
MFVF31801,stage3,FV1801,low,fecal
MFVF31803,stage3,FV1803,high,fecal
MFVF31804,stage3,FV1804,high,fecal
MFVF31807,stage3,FV1807,low,fecal
MFVF31808,stage3,FV1808,low,fecal
MFVF31815,stage3,FV1815,high,fecal
MFVF31817,stage3,FV1817,low,fecal
MFVF31818,stage3,FV1818,high,fecal
MFVF31819,stage3,FV1819,high,fecal
MFVF31821,stage3,FV1821,high,fecal
MFVF31822,stage3,FV1822,high,fecal
MFVF31823,stage3,FV1823,low,fecal
MFVF31824,stage3,FV1824,low,fecal
MFVF31836,stage3,FV1836,high,fecal
MFVF31838,stage3,FV1838,low,fecal
MFVF31839,stage3,FV1839,high,fecal
MFVF31841,stage3,FV1841,high,fecal
MFVF31844,stage3,FV1844,low,fecal
MFVF31845,stage3,FV1845,high,fecal
MFVS11801,stage1,FV1801,low,oroph
MFVS11802,stage1,FV1802,low,oroph
MFVS11803,stage1,FV1803,high,oroph
MFVS11804,stage1,FV1804,high,oroph
MFVS11806,stage1,FV1806,high,oroph
MFVS11807,stage1,FV1807,low,oroph
MFVS11808,stage1,FV1808,low,oroph
MFVS11809,stage1,FV1809,high,oroph
MFVS11815,stage1,FV1815,high,oroph
MFVS11817,stage1,FV1817,low,oroph
MFVS11818,stage1,FV1818,high,oroph
MFVS11819,stage1,FV1819,high,oroph
MFVS11821,stage1,FV1821,high,oroph
MFVS11822,stage1,FV1822,high,oroph
MFVS11823,stage1,FV1823,low,oroph
MFVS11824,stage1,FV1824,low,oroph
MFVS11825,stage1,FV1825,low,oroph
MFVS11829,stage1,FV1829,high,oroph
MFVS11836,stage1,FV1836,high,oroph
MFVS11837,stage1,FV1837,high,oroph
MFVS11838,stage1,FV1838,low,oroph
MFVS11839,stage1,FV1839,high,oroph
MFVS11841,stage1,FV1841,high,oroph
MFVS11842,stage1,FV1842,high,oroph
MFVS11844,stage1,FV1844,low,oroph
MFVS11845,stage1,FV1845,high,oroph
MFVS21801,stage2,FV1801,low,oroph
MFVS21802,stage2,FV1802,low,oroph
MFVS21803,stage2,FV1803,high,oroph
MFVS21804,stage2,FV1804,high,oroph
MFVS21806,stage2,FV1806,high,oroph
MFVS21807,stage2,FV1807,low,oroph
MFVS21808,stage2,FV1808,low,oroph
MFVS21809,stage2,FV1809,high,oroph
MFVS21815,stage2,FV1815,high,oroph
MFVS21817,stage2,FV1817,low,oroph
MFVS21818,stage2,FV1818,high,oroph
MFVS21819,stage2,FV1819,high,oroph
MFVS21821,stage2,FV1821,high,oroph
MFVS21822,stage2,FV1822,high,oroph
MFVS21823,stage2,FV1823,low,oroph
MFVS21824,stage2,FV1824,low,oroph
MFVS21825,stage2,FV1825,low,oroph
MFVS21829,stage2,FV1829,high,oroph
MFVS21836,stage2,FV1836,high,oroph
MFVS21837,stage2,FV1837,high,oroph
MFVS21838,stage2,FV1838,low,oroph
MFVS21839,stage2,FV1839,high,oroph
MFVS21841,stage2,FV1841,high,oroph
MFVS21842,stage2,FV1842,high,oroph
MFVS21844,stage2,FV1844,low,oroph
MFVS21845,stage2,FV1845,high,oroph
MFVS31801,stage3,FV1801,low,oroph
MFVS31802,stage3,FV1802,low,oroph
MFVS31803,stage3,FV1803,high,oroph
MFVS31804,stage3,FV1804,high,oroph
MFVS31806,stage3,FV1806,high,oroph
MFVS31807,stage3,FV1807,low,oroph
MFVS31808,stage3,FV1808,low,oroph
MFVS31809,stage3,FV1809,high,oroph
MFVS31815,stage3,FV1815,high,oroph
MFVS31817,stage3,FV1817,low,oroph
MFVS31818,stage3,FV1818,high,oroph
MFVS31819,stage3,FV1819,high,oroph
MFVS31821,stage3,FV1821,high,oroph
MFVS31822,stage3,FV1822,high,oroph
MFVS31823,stage3,FV1823,low,oroph
MFVS31824,stage3,FV1824,low,oroph
MFVS31825,stage3,FV1825,low,oroph
MFVS31836,stage3,FV1836,high,oroph
MFVS31837,stage3,FV1837,high,oroph
MFVS31838,stage3,FV1838,low,oroph
MFVS31841,stage3,FV1841,high,oroph
MFVS31842,stage3,FV1842,high,oroph
MFVS31844,stage3,FV1844,low,oroph
MFVS31845,stage3,FV1845,high,oroph
